Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,SalePrice,Id
Air India,3/6/2019,Delhi,Cochin,DEL → BOM → COK,3:50,19:15,15h 25m,1 stop,No info,8669,0
Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,23:00,5/19/2022 7:40,8h 40m,1 stop,No info,8372,1
IndiGo,3/6/2019,Delhi,Cochin,DEL → HYD → COK,8:35,22:30,13h 55m,1 stop,No info,6442,2
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,5/22/2022 16:20,19h 10m,1 stop,In-flight meal not included,10844,3
IndiGo,12/6/2019,Banglore,Delhi,BLR → DEL,6:05,8:50,2h 45m,non-stop,No info,3943,4
Air India,6/5/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5228,5
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,16:20,7h 55m,1 stop,No info,14571,6
Jet Airways,9/6/2019,Delhi,Cochin,DEL → BOM → COK,17:30,6/10/2022 12:35,19h 5m,1 stop,In-flight meal not included,10262,7
Air Asia,15/03/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4384,8
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,11789,9
IndiGo,6/6/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6938,10
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,4/2/2022 16:20,23h 50m,1 stop,In-flight meal not included,7064,11
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,5/13/2022 10:05,15h 10m,1 stop,In-flight meal not included,9663,12
IndiGo,6/3/2019,Delhi,Cochin,DEL → HYD → COK,8:35,22:20,13h 45m,1 stop,No info,7514,13
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,3/7/2022 0:45,10h 40m,1 stop,No info,14815,14
Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,9:00,19:00,10h,1 stop,No info,14714,15
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,6/25/2022 12:35,13h 30m,2 stops,No info,12819,16
IndiGo,1/5/2019,Kolkata,Banglore,CCU → BBI → BLR,7:10,12:40,5h 30m,1 stop,No info,6111,17
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,3/2/2022 9:30,19h 25m,1 stop,No info,25735,18
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13587,19
IndiGo,9/3/2019,Chennai,Kolkata,MAA → CCU,22:05,3/10/2022 0:25,2h 20m,non-stop,No info,6297,20
IndiGo,6/6/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,21
Jet Airways,6/5/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995,22
IndiGo,27/05/2019,Delhi,Cochin,DEL → MAA → COK,7:15,12:30,5h 15m,1 stop,No info,5636,23
IndiGo,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,4:55,21:20,16h 25m,2 stops,No info,6223,24
Jet Airways,1/5/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,5/2/2022 19:00,23h 50m,2 stops,No info,15129,25
Jet Airways,15/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,No info,18804,26
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,5/10/2022 4:40,8h 40m,1 stop,No info,13941,27
IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,8:35,16:10,7h 35m,1 stop,No info,6442,28
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,5/10/2022 12:00,27h 35m,1 stop,In-flight meal not included,9663,29
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,19:50,11h 25m,1 stop,In-flight meal not included,8586,30
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,9:10,10:40,1h 30m,non-stop,No info,5755,31
IndiGo,1/3/2019,Kolkata,Banglore,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,6565,32
Air Asia,6/6/2019,Delhi,Cochin,DEL → BLR → COK,16:45,6/7/2022 7:10,14h 25m,1 stop,No info,11410,33
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,3/2/2022 10:25,17h 30m,1 stop,1 Long layover,25735,34
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,5/22/2022 1:30,15h 30m,1 stop,No info,7888,35
IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,6:40,12:00,5h 20m,1 stop,No info,5298,36
IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,23:30,4/4/2022 2:20,2h 50m,non-stop,No info,4591,37
Jet Airways,1/6/2019,Delhi,Cochin,DEL → BOM → COK,15:00,6/2/2022 4:25,13h 25m,1 stop,No info,14714,38
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823,39
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL → BOM → COK,7:30,18:50,11h 20m,1 stop,No info,14629,40
Vistara,6/3/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:55,3/7/2022 22:55,26h,1 stop,No info,12395,41
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,42
GoAir,1/4/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,5281,43
